Saving Glyph a of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1009738
Saving Glyph b of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1029056
Saving Glyph c of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1048374
Saving Glyph d of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1067692
Saving Glyph e of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1087010
Saving Glyph f of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1106328
Saving Glyph g of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1125646
Saving Glyph h of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1144964
Saving Glyph i of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1164282
Saving Glyph j of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1183600
Saving Glyph k of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1202918
Saving Glyph l of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1222236
Saving Glyph m of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1241554
Saving Glyph n of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1260872
Saving Glyph o of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1280190
Saving Glyph p of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1299508
Saving Glyph q of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1318826
Saving Glyph r of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1338144
Saving Glyph s of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1357462
Saving Glyph t of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1376780
Saving Glyph u of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1396098
Saving Glyph v of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1415416
Saving Glyph w of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1434734
Saving Glyph x of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1454052
Saving Glyph y of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1473370
Saving Glyph z of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1492688
Saving Glyph { of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1512006
Saving Glyph | of Hyperspace to File "fonts.aaf", Asset Size: 3914, Total Size: 1515920
Saving Glyph } of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 1535238
Saving Glyph ~ of Hyperspace to File "fonts.aaf", Asset Size: 7254, Total Size: 1542492
Saving Kerning Table for Hyperspace to File "fonts.aaf", Asset Size: 698, Total Size: 1543190
Saving Metadata for Font Hyperspace to File "fonts.aaf", Asset Size: 62, Total Size: 1543252
Saving Glyph ! of Arial to File "fonts.aaf", Asset Size: 5910, Total Size: 1549162
Saving Glyph " of Arial to File "fonts.aaf", Asset Size: 4686, Total Size: 1553848
Saving Glyph # of Arial to File "fonts.aaf", Asset Size: 23202, Total Size: 1577050
Saving Glyph $ of Arial to File "fonts.aaf", Asset Size: 24422, Total Size: 1601472
Saving Glyph % of Arial to File "fonts.aaf", Asset Size: 33550, Total Size: 1635022
Saving Glyph & of Arial to File "fonts.aaf", Asset Size: 26050, Total Size: 1661072
Saving Glyph ' of Arial to File "fonts.aaf", Asset Size: 2102, Total Size: 1663174
Saving Glyph ( of Arial to File "fonts.aaf", Asset Size: 14398, Total Size: 1677572
Saving Glyph ) of Arial to File "fonts.aaf", Asset Size: 14398, Total Size: 1691970
Saving Glyph * of Arial to File "fonts.aaf", Asset Size: 6458, Total Size: 1698428
Saving Glyph + of Arial to File "fonts.aaf", Asset Size: 13518, Total Size: 1711946
Saving Glyph , of Arial to File "fonts.aaf", Asset Size: 2110, Total Size: 1714056
Saving Glyph - of Arial to File "fonts.aaf", Asset Size: 2022, Total Size: 1716078
Saving Glyph . of Arial to File "fonts.aaf", Asset Size: 962, Total Size: 1717040
Saving Glyph / of Arial to File "fonts.aaf", Asset Size: 12522, Total Size: 1729562
Saving Glyph 0 of Arial to File "fonts.aaf", Asset Size: 20478, Total Size: 1750040
Saving Glyph 1 of Arial to File "fonts.aaf", Asset Size: 11758, Total Size: 1761798
Saving Glyph 2 of Arial to File "fonts.aaf", Asset Size: 20014, Total Size: 1781812
Saving Glyph 3 of Arial to File "fonts.aaf", Asset Size: 20478, Total Size: 1802290
Saving Glyph 4 of Arial to File "fonts.aaf", Asset Size: 21046, Total Size: 1823336
Saving Glyph 5 of Arial to File "fonts.aaf", Asset Size: 20358, Total Size: 1843694
Saving Glyph 6 of Arial to File "fonts.aaf", Asset Size: 20478, Total Size: 1864172
Saving Glyph 7 of Arial to File "fonts.aaf", Asset Size: 19214, Total Size: 1883386
Saving Glyph 8 of Arial to File "fonts.aaf", Asset Size: 20478, Total Size: 1903864
Saving Glyph 9 of Arial to File "fonts.aaf", Asset Size: 20478, Total Size: 1924342
Saving Glyph : of Arial to File "fonts.aaf", Asset Size: 3842, Total Size: 1928184
Saving Glyph ; of Arial to File "fonts.aaf", Asset Size: 5182, Total Size: 1933366
Saving Glyph < of Arial to File "fonts.aaf", Asset Size: 13982, Total Size: 1947348
Saving Glyph = of Arial to File "fonts.aaf", Asset Size: 8878, Total Size: 1956226
Saving Glyph > of Arial to File "fonts.aaf", Asset Size: 13982, Total Size: 1970208
Saving Glyph ? of Arial to File "fonts.aaf", Asset Size: 19550, Total Size: 1989758
Saving Glyph @ of Arial to File "fonts.aaf", Asset Size: 49342, Total Size: 2039100
Saving Glyph A of Arial to File "fonts.aaf", Asset Size: 27926, Total Size: 2067026
Saving Glyph B of Arial to File "fonts.aaf", Asset Size: 22766, Total Size: 2089792
Saving Glyph C of Arial to File "fonts.aaf", Asset Size: 27474, Total Size: 2117266
Saving Glyph D of Arial to File "fonts.aaf", Asset Size: 24830, Total Size: 2142096
Saving Glyph E of Arial to File "fonts.aaf", Asset Size: 22422, Total Size: 2164518
Saving Glyph F of Arial to File "fonts.aaf", Asset Size: 20358, Total Size: 2184876
Saving Glyph G of Arial to File "fonts.aaf", Asset Size: 28186, Total Size: 2213062
Saving Glyph H of Arial to File "fonts.aaf", Asset Size: 23454, Total Size: 2236516
Saving Glyph I of Arial to File "fonts.aaf", Asset Size: 5222, Total Size: 2241738
Saving Glyph J of Arial to File "fonts.aaf", Asset Size: 17310, Total Size: 2259048
Saving Glyph K of Arial to File "fonts.aaf", Asset Size: 24830, Total Size: 2283878
Saving Glyph L of Arial to File "fonts.aaf", Asset Size: 18982, Total Size: 2302860
Saving Glyph M of Arial to File "fonts.aaf", Asset Size: 28270, Total Size: 2331130
Saving Glyph N of Arial to File "fonts.aaf", Asset Size: 23798, Total Size: 2354928
Saving Glyph O of Arial to File "fonts.aaf", Asset Size: 29254, Total Size: 2384182
Saving Glyph P of Arial to File "fonts.aaf", Asset Size: 23110, Total Size: 2407292
Saving Glyph Q of Arial to File "fonts.aaf", Asset Size: 31646, Total Size: 2438938
Saving Glyph R of Arial to File "fonts.aaf", Asset Size: 26206, Total Size: 2465144
Saving Glyph S of Arial to File "fonts.aaf", Asset Size: 24626, Total Size: 2489770
Saving Glyph T of Arial to File "fonts.aaf", Asset Size: 23798, Total Size: 2513568
Saving Glyph U of Arial to File "fonts.aaf", Asset Size: 23998, Total Size: 2537566
Saving Glyph V of Arial to File "fonts.aaf", Asset Size: 27238, Total Size: 2564804
Saving Glyph W of Arial to File "fonts.aaf", Asset Size: 37558, Total Size: 2602362
